employee_id,gender,age_band,primary_role,employment_type,base_location_id
EMP-00001,Non-binary / Other,45-54,Coordinator,Part-time,LOC-03
EMP-00002,Male,55-64,Support Worker,Part-time,LOC-10
EMP-00003,Male,35-44,Support Worker,Part-time,LOC-03
EMP-00004,Female,25-34,Allied Health Clinician,Part-time,LOC-05
EMP-00005,Female,25-34,Coordinator,Casual,LOC-01
EMP-00006,Male,25-34,Support Worker,Part-time,LOC-09
EMP-00007,Female,18-24,Coordinator,Full-time,LOC-07
EMP-00008,Female,25-34,Team Leader,Part-time,LOC-05
EMP-00009,Female,35-44,Team Leader,Part-time,LOC-06
EMP-00010,Male,25-34,Support Worker,Part-time,LOC-05
EMP-00011,Male,35-44,Support Worker,Full-time,LOC-06
EMP-00012,Female,25-34,Support Worker,Full-time,LOC-08
EMP-00013,Male,35-44,Support Worker,Part-time,LOC-03
EMP-00014,Female,65+,Support Worker,Casual,LOC-07
EMP-00015,Female,25-34,Team Leader,Part-time,LOC-05
EMP-00016,Male,35-44,Support Worker,Full-time,LOC-08
EMP-00017,Female,35-44,Support Worker,Part-time,LOC-08
EMP-00018,Female,35-44,Support Worker,Part-time,LOC-10
EMP-00019,Female,35-44,Support Worker,Casual,LOC-01
EMP-00020,Female,35-44,Support Worker,Part-time,LOC-04
EMP-00021,Male,25-34,Coordinator,Casual,LOC-04
EMP-00022,Female,18-24,Team Leader,Part-time,LOC-10
EMP-00023,Female,35-44,Support Worker,Casual,LOC-03
EMP-00024,Non-binary / Other,55-64,Allied Health Clinician,Full-time,LOC-05
EMP-00025,Male,35-44,Allied Health Clinician,Casual,LOC-01
EMP-00026,Female,55-64,Coordinator,Full-time,LOC-03
EMP-00027,Male,65+,Support Worker,Part-time,LOC-03
EMP-00028,Male,25-34,Support Worker,Full-time,LOC-02
EMP-00029,Male,25-34,Team Leader,Part-time,LOC-01
EMP-00030,Male,65+,Allied Health Clinician,Full-time,LOC-05
EMP-00031,Female,35-44,Allied Health Clinician,Full-time,LOC-09
EMP-00032,Male,18-24,Support Worker,Casual,LOC-05
EMP-00033,Male,45-54,Coordinator,Part-time,LOC-08
EMP-00034,Female,25-34,Support Worker,Part-time,LOC-09
EMP-00035,Female,55-64,Coordinator,Casual,LOC-05
EMP-00036,Female,25-34,Support Worker,Casual,LOC-03
EMP-00037,Female,25-34,Support Worker,Full-time,LOC-06
EMP-00038,Female,25-34,Allied Health Clinician,Casual,LOC-02
EMP-00039,Male,18-24,Support Worker,Full-time,LOC-09
EMP-00040,Male,45-54,Support Worker,Casual,LOC-10
EMP-00041,Female,35-44,Coordinator,Full-time,LOC-10
EMP-00042,Female,35-44,Support Worker,Full-time,LOC-05
EMP-00043,Male,35-44,Support Worker,Full-time,LOC-08
EMP-00044,Female,45-54,Support Worker,Casual,LOC-09
EMP-00045,Female,18-24,Team Leader,Full-time,LOC-10
EMP-00046,Male,45-54,Support Worker,Casual,LOC-10
EMP-00047,Female,25-34,Coordinator,Casual,LOC-01
EMP-00048,Male,35-44,Support Worker,Part-time,LOC-08
EMP-00049,Female,45-54,Allied Health Clinician,Full-time,LOC-05
EMP-00050,Female,25-34,Support Worker,Casual,LOC-03
EMP-00051,Female,65+,Support Worker,Casual,LOC-02
EMP-00052,Male,25-34,Support Worker,Full-time,LOC-08
EMP-00053,Female,55-64,Team Leader,Full-time,LOC-06
EMP-00054,Male,25-34,Support Worker,Part-time,LOC-10
EMP-00055,Male,45-54,Allied Health Clinician,Full-time,LOC-07
EMP-00056,Male,25-34,Allied Health Clinician,Full-time,LOC-02
EMP-00057,Male,25-34,Team Leader,Full-time,LOC-09
EMP-00058,Male,55-64,Support Worker,Casual,LOC-08
